,year,month,day,day_of_week,hour,AEP_MW
0,2004,12,31,4,1,13478.0
1,2004,12,31,4,2,12865.0
2,2004,12,31,4,3,12577.0
3,2004,12,31,4,4,12517.0
4,2004,12,31,4,5,12670.0
5,2004,12,31,4,6,13038.0
6,2004,12,31,4,7,13692.0
7,2004,12,31,4,8,14297.0
8,2004,12,31,4,9,14719.0
9,2004,12,31,4,10,14941.0
10,2004,12,31,4,11,15184.0
11,2004,12,31,4,12,15009.0
12,2004,12,31,4,13,14808.0
13,2004,12,31,4,14,14522.0
14,2004,12,31,4,15,14349.0
15,2004,12,31,4,16,14107.0
16,2004,12,31,4,17,14410.0
17,2004,12,31,4,18,15174.0
18,2004,12,31,4,19,15261.0
19,2004,12,31,4,20,14774.0
20,2004,12,31,4,21,14363.0
21,2004,12,31,4,22,14045.0
22,2004,12,31,4,23,13478.0
23,2005,1,1,5,0,12892.0
24,2004,12,30,3,1,14097.0
25,2004,12,30,3,2,13667.0
26,2004,12,30,3,3,13451.0
27,2004,12,30,3,4,13379.0
28,2004,12,30,3,5,13506.0
29,2004,12,30,3,6,14121.0
30,2004,12,30,3,7,15066.0
31,2004,12,30,3,8,15771.0
32,2004,12,30,3,9,16047.0
33,2004,12,30,3,10,16245.0
34,2004,12,30,3,11,16377.0
35,2004,12,30,3,12,16138.0
36,2004,12,30,3,13,15886.0
37,2004,12,30,3,14,15503.0
38,2004,12,30,3,15,15206.0
39,2004,12,30,3,16,15049.0
40,2004,12,30,3,17,15161.0
41,2004,12,30,3,18,16085.0
42,2004,12,30,3,19,16508.0
43,2004,12,30,3,20,16306.0
44,2004,12,30,3,21,16223.0
45,2004,12,30,3,22,15931.0
46,2004,12,30,3,23,15207.0
47,2004,12,31,4,0,14316.0
48,2004,12,29,2,1,15223.0
49,2004,12,29,2,2,14731.0
50,2004,12,29,2,3,14503.0
51,2004,12,29,2,4,14432.0
52,2004,12,29,2,5,14531.0
53,2004,12,29,2,6,15087.0
54,2004,12,29,2,7,16018.0
55,2004,12,29,2,8,16968.0
56,2004,12,29,2,9,17149.0
57,2004,12,29,2,10,17261.0
58,2004,12,29,2,11,17194.0
59,2004,12,29,2,12,17011.0
60,2004,12,29,2,13,16749.0
61,2004,12,29,2,14,16546.0
62,2004,12,29,2,15,16403.0
63,2004,12,29,2,16,16161.0
64,2004,12,29,2,17,16380.0
65,2004,12,29,2,18,17330.0
66,2004,12,29,2,19,17738.0
67,2004,12,29,2,20,17468.0
68,2004,12,29,2,21,17093.0
69,2004,12,29,2,22,16736.0
70,2004,12,29,2,23,15984.0
71,2004,12,30,3,0,14900.0
72,2004,12,28,1,1,17580.0
73,2004,12,28,1,2,17158.0
74,2004,12,28,1,3,17002.0
75,2004,12,28,1,4,16923.0
76,2004,12,28,1,5,17191.0
77,2004,12,28,1,6,17908.0
78,2004,12,28,1,7,18944.0
79,2004,12,28,1,8,19752.0
80,2004,12,28,1,9,19882.0
81,2004,12,28,1,10,19544.0
82,2004,12,28,1,11,19309.0
83,2004,12,28,1,12,18756.0
84,2004,12,28,1,13,18201.0
85,2004,12,28,1,14,17666.0
86,2004,12,28,1,15,17203.0
87,2004,12,28,1,16,16935.0
88,2004,12,28,1,17,17207.0
89,2004,12,28,1,18,18349.0
90,2004,12,28,1,19,18815.0
91,2004,12,28,1,20,18599.0
92,2004,12,28,1,21,18480.0
93,2004,12,28,1,22,18135.0
94,2004,12,28,1,23,17112.0
95,2004,12,29,2,0,16047.0
96,2004,12,27,0,1,16718.0
97,2004,12,27,0,2,16150.0
98,2004,12,27,0,3,16090.0
99,2004,12,27,0,4,16223.0
100,2004,12,27,0,5,16652.0
101,2004,12,27,0,6,17317.0
102,2004,12,27,0,7,18384.0
103,2004,12,27,0,8,19366.0
104,2004,12,27,0,9,19772.0
105,2004,12,27,0,10,19792.0
106,2004,12,27,0,11,19697.0
107,2004,12,27,0,12,19193.0
108,2004,12,27,0,13,18640.0
109,2004,12,27,0,14,18066.0
110,2004,12,27,0,15,17692.0
111,2004,12,27,0,16,17522.0
112,2004,12,27,0,17,17933.0
113,2004,12,27,0,18,19353.0
114,2004,12,27,0,19,20046.0
115,2004,12,27,0,20,20127.0
116,2004,12,27,0,21,20049.0
117,2004,12,27,0,22,19751.0
118,2004,12,27,0,23,19038.0
119,2004,12,28,1,0,18133.0
120,2004,12,26,6,1,15059.0
121,2004,12,26,6,2,14617.0
122,2004,12,26,6,3,14452.0
123,2004,12,26,6,4,14465.0
124,2004,12,26,6,5,14561.0
125,2004,12,26,6,6,14862.0
126,2004,12,26,6,7,15318.0
127,2004,12,26,6,8,15865.0
